"x","year","month","country"
584222.030877068,2025,3,"France"
Inf,2024,1,"France"
584215.721974352,2024,6,"France"
Inf,2024,10,"France"
Inf,2024,10,"France"
584243.513394559,2023,11,"France"
1222910.3901344,2022,5,"France"
Inf,2022,8,"France"
Inf,2022,9,"France"
Inf,2022,11,"France"
Inf,2021,1,"Netherlands"
Inf,2021,4,"France"
Inf,2021,4,"France"
Inf,2020,5,"France"
Inf,2018,2,"Italy"
Inf,2014,5,"France"
Inf,2014,5,"France"
Inf,2012,10,"France"
Inf,2012,10,"France"
Inf,2012,10,"France"
Inf,2012,10,"France"
Inf,2012,10,"France"
Inf,2011,4,"France"
1084020.28799723,2010,3,"France"
Inf,1970,NA,"Greece"
721322.471695336,1952,11,"France"
1428079.36609703,2019,9,"Ukraine"
Inf,NA,NA,"Spain"
